sample_id,source_file_id,row_id,label,label_name,condition_id,sensor_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_x,angle_y,angle_z
S00000041,file_0001,41,1,abnormal,condition_00,sensor_00,-0.571,0.5413,-0.5611,0.1416,0.1593,0.029,0.5375,0.5379,0.6552
S00000042,file_0001,42,1,abnormal,condition_00,sensor_00,-0.5516,0.5708,-0.5768,0.1249,0.1155,0.029,0.5392,0.5379,0.6569
S00000043,file_0001,43,1,abnormal,condition_00,sensor_00,-0.4738,0.5216,-0.5746,0.1249,0.1374,0.029,0.5409,0.5361,0.6587
S00000044,file_0001,44,1,abnormal,condition_00,sensor_00,-0.5516,0.5314,-0.5746,0.1471,0.1155,-0.789,0.5427,0.5361,0.6604
S00000045,file_0001,45,1,abnormal,condition_00,sensor_00,-0.5127,0.5806,-0.5858,0.1249,0.1374,-0.789,0.5444,0.5361,0.6621
S00000046,file_0001,46,1,abnormal,condition_00,sensor_00,-0.4738,0.5314,-0.5791,0.1081,0.0936,0.029,0.5459,0.534,0.6638
S00000047,file_0001,47,1,abnormal,condition_00,sensor_00,-0.4349,0.5363,-0.5858,0.1137,0.1155,0.029,0.5476,0.534,0.6646
S00000048,file_0001,48,1,abnormal,condition_00,sensor_00,-0.571,0.5511,-0.5926,0.1416,0.1593,0.029,0.5495,0.5323,0.6663
S00000049,file_0001,49,1,abnormal,condition_00,sensor_00,-0.5516,0.556,-0.5836,0.1137,0.1155,0.029,0.5512,0.5323,0.668
S00000050,file_0001,50,1,abnormal,condition_00,sensor_00,-0.4933,0.5511,-0.5858,0.1193,0.1374,0.029,0.5527,0.5323,0.6698
S00000051,file_0001,51,1,abnormal,condition_00,sensor_00,-0.4933,0.5905,-0.6016,0.1527,0.0936,0.029,0.5544,0.5302,0.6715
S00000052,file_0001,52,1,abnormal,condition_00,sensor_00,-0.4738,0.4773,-0.5926,0.7811,0.7938,0.029,0.5628,0.5264,0.6801
S00000053,file_0001,53,1,abnormal,condition_00,sensor_00,-0.4155,0.4822,-0.6106,0.9256,0.9032,0.029,0.5807,0.5188,0.699
S00000054,file_0001,54,1,abnormal,condition_00,sensor_00,-0.5321,0.4183,-0.6061,1.0257,1.0129,0.029,0.5995,0.5095,0.7196
S00000055,file_0001,55,1,abnormal,condition_00,sensor_00,-0.4155,0.556,-0.6669,1.1536,1.2097,0.029,0.6197,0.4981,0.7419
S00000056,file_0001,56,1,abnormal,condition_00,sensor_00,-0.7071,0.4527,-0.6894,1.3872,1.3628,0.029,0.6426,0.4846,0.7658
S00000057,file_0001,57,1,abnormal,condition_00,sensor_00,-0.6488,0.6249,-0.6917,0.4084,0.3783,0.029,0.66,0.4752,0.7847
S00000058,file_0001,58,1,abnormal,condition_00,sensor_00,-0.3183,0.4822,-0.7007,0.0581,0.0499,0.029,0.659,0.4752,0.7857
S00000059,file_0001,59,1,abnormal,condition_00,sensor_00,-0.5516,0.433,-0.7232,0.0526,0.0499,0.847,0.6587,0.477,0.7857
S00000060,file_0001,60,1,abnormal,condition_00,sensor_00,-0.571,0.4429,-0.7052,0.0415,0.1155,-2.4249,0.6583,0.477,0.7857
S00000061,file_0001,61,1,abnormal,condition_00,sensor_00,-0.4349,0.4183,-0.6759,0.047,0.028,0.029,0.6577,0.477,0.7847
S00000062,file_0001,62,1,abnormal,condition_00,sensor_00,-0.3961,0.4871,-0.7075,0.0137,0.0499,0.029,0.6572,0.477,0.7847
S00000063,file_0001,63,1,abnormal,condition_00,sensor_00,-0.4933,0.4921,-0.712,0.0359,0.0499,1.6649,0.657,0.477,0.7847
S00000064,file_0001,64,1,abnormal,condition_00,sensor_00,-0.4933,0.497,-0.6962,0.0248,0.028,0.029,0.6568,0.477,0.784
S00000065,file_0001,65,1,abnormal,condition_00,sensor_00,-0.4349,0.4625,-0.7052,0.0415,0.0499,0.029,0.6568,0.4791,0.784
S00000066,file_0001,66,1,abnormal,condition_00,sensor_00,-0.5127,0.4822,-0.7187,0.0415,0.0499,-0.789,0.6568,0.4791,0.784
S00000067,file_0001,67,1,abnormal,condition_00,sensor_00,-0.5127,0.4675,-0.7075,0.0359,0.0718,0.847,0.6566,0.477,0.784
S00000068,file_0001,68,1,abnormal,condition_00,sensor_00,-0.3766,0.4871,-0.6962,0.0415,0.0499,0.029,0.6566,0.477,0.784
S00000069,file_0001,69,1,abnormal,condition_00,sensor_00,-0.4738,0.4822,-0.7142,0.0303,0.0499,0.029,0.6568,0.477,0.784
S00000070,file_0001,70,1,abnormal,condition_00,sensor_00,-0.4738,0.4724,-0.7097,0.0415,0.0499,0.029,0.6568,0.477,0.784
S00000071,file_0001,71,1,abnormal,condition_00,sensor_00,-0.4349,0.497,-0.6917,0.0415,0.0499,0.029,0.657,0.477,0.784
S00000072,file_0001,72,1,abnormal,condition_00,sensor_00,-0.4349,0.4822,-0.712,0.0359,0.0936,0.029,0.6572,0.4752,0.784
S00000073,file_0001,73,1,abnormal,condition_00,sensor_00,-0.5127,0.4822,-0.7097,0.0248,0.0499,0.029,0.6572,0.4752,0.784
S00000074,file_0001,74,1,abnormal,condition_00,sensor_00,-0.4933,0.4822,-0.703,0.0359,0.028,0.029,0.6574,0.4752,0.784
S00000075,file_0001,75,1,abnormal,condition_00,sensor_00,-0.3961,0.4773,-0.7052,0.0359,0.0718,0.029,0.6574,0.4752,0.784
S00000076,file_0001,76,1,abnormal,condition_00,sensor_00,-0.4155,0.4822,-0.7075,0.0359,0.0499,1.6649,0.6574,0.4752,0.784
S00000077,file_0001,77,1,abnormal,condition_00,sensor_00,-0.5127,0.4724,-0.7142,0.0359,0.0062,0.029,0.6575,0.4732,0.783
S00000078,file_0001,78,1,abnormal,condition_00,sensor_00,-0.4544,0.4921,-0.7075,0.047,0.0718,0.847,0.6575,0.4732,0.783
S00000079,file_0001,79,1,abnormal,condition_00,sensor_00,-0.4349,0.4921,-0.7075,0.047,0.0499,0.029,0.6575,0.4732,0.783
S00000080,file_0001,80,1,abnormal,condition_00,sensor_00,-0.5127,0.4822,-0.7142,0.0303,0.0499,0.029,0.6575,0.4732,0.783
S00000081,file_0001,81,1,abnormal,condition_00,sensor_00,-0.3961,0.7381,-0.7886,-0.0308,-0.1032,0.029,0.6575,0.4732,0.783
S00000082,file_0001,82,1,abnormal,condition_00,sensor_00,-0.1433,1.176,-0.8719,0.1249,-0.0813,2.4829,0.6589,0.4714,0.7857
S00000083,file_0001,83,1,abnormal,condition_00,sensor_00,-0.6877,0.3986,-0.7277,0.0415,0.0718,0.029,0.6592,0.4714,0.7857
S00000084,file_0001,84,1,abnormal,condition_00,sensor_00,-0.4933,0.4921,-0.6849,0.0192,0.1374,-0.789,0.6592,0.4714,0.7857
S00000085,file_0001,85,1,abnormal,condition_00,sensor_00,-0.3183,0.5117,-0.7075,0.0415,-0.0376,0.029,0.6592,0.4732,0.7857
S00000086,file_0001,86,1,abnormal,condition_00,sensor_00,-0.4933,0.4429,-0.7277,0.0359,0.0718,0.847,0.6592,0.4714,0.7857
S00000087,file_0001,87,1,abnormal,condition_00,sensor_00,-0.4544,0.4921,-0.694,0.0137,0.1155,0.029,0.6592,0.4714,0.7857
S00000088,file_0001,88,1,abnormal,condition_00,sensor_00,-0.4155,0.4921,-0.7075,0.0303,-0.0157,0.847,0.6592,0.4714,0.7857
S00000089,file_0001,89,1,abnormal,condition_00,sensor_00,-0.3961,0.4576,-0.7277,0.0359,0.0499,0.029,0.6592,0.4714,0.7857
S00000090,file_0001,90,1,abnormal,condition_00,sensor_00,-0.4738,0.4822,-0.7165,0.0248,0.0062,1.6649,0.6592,0.4714,0.7847
S00000091,file_0001,91,1,abnormal,condition_00,sensor_00,-0.4544,0.4871,-0.7075,0.0192,0.0499,0.029,0.6592,0.4714,0.7847
S00000092,file_0001,92,1,abnormal,condition_00,sensor_00,-0.4349,0.4773,-0.7165,0.0303,0.0499,0.029,0.659,0.4714,0.7847
S00000093,file_0001,93,1,abnormal,condition_00,sensor_00,-0.4933,0.4871,-0.7007,0.0192,0.028,0.029,0.659,0.4714,0.7847
S00000094,file_0001,94,1,abnormal,condition_00,sensor_00,-0.6099,0.7577,-0.7503,-0.5814,-0.5409,0.029,0.6551,0.4732,0.7805
S00000095,file_0001,95,1,abnormal,condition_00,sensor_00,-0.5127,0.3887,-0.6782,-0.9929,-0.9787,0.029,0.636,0.4846,0.7599
